Sales Document;Sales Document Item;PO;Purchase Order Date;Sold-To Party;Customer;Country;Ship to;Order Quantity;QTY not delivered;Material;Customer Material;Description;Open value;Document Currency;1. confirmed ship date;Current ship date;Information 'Current ship date';'# of Days moved;Incoterms;in transit without POD
29270491;40;PO-21-16494;08.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;12;12;DS2168-0384;;"'""AUTOCLV SEPTUM CLSR; 38-430 EM""";166,80;EUR;26.01.2022;2022-07-13;;117;FCA;
29271493;110;PO-21-16752;14.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;120;61;342044-0650;;BTL,SQ,PET,650ML,W/OCLOS,STR]];5.709,60;EUR;22.12.2021;2022-06-08;;117;FCA;C
29271648;40;PO-21-16774;14.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;347627;;1.8ML CRYOTB EXT THD W/O PRNT;826,10;EUR;23.03.2022;2022-08-17;;100;FCA;
29271656;10;80814751−O1−00548;14.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;9402070;;Finntip 5 ml, 5x54/rack;33,61;EUR;30.03.2022;2022-06-29;;62;FCA;
29271656;40;80814751−O1−00548;14.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;94056380;;Finntip Flex Filter 200ul, 10x96/rack, s;69,75;EUR;02.03.2022;2022-05-11;;49;FCA;
29271912;50;PO-21-16848;15.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;501;501;342089-0004;;BOTTLE, N/M,HDPE,125 EU;59.518,80;EUR;09.02.2022;2022-07-27;;116;FCA;
29271912;71;PO-21-16848;15.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;40;40;342020-0060;;STER. PETG MEDIA BTL., 60ML EM;7.240,00;EUR;16.02.2022;2022-05-11;;59;FCA;
29271912;180;PO-21-16848;15.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;226;226;312104-0016;;"'""BTL BULK W/CLOS HDPE; 16 OZ EU""";43.392,00;EUR;09.03.2022;2022-05-11;;44;FCA;
29271912;182;PO-21-16848;15.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;54;54;312104-0016;;"'""BTL BULK W/CLOS HDPE; 16 OZ EU""";10.368,00;EUR;;;;0;FCA;
29271912;200;PO-21-16848;15.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;49;15;312002-9025;;"'""BTL BULK W/CLOS HDPE; 1/4 OZ EM""";9.531,00;EUR;29.12.2021;2022-05-11;;94;FCA;
29272328;40;PO-21-16976;17.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;118;118;342830-0116;;"CLOS, MPV, BLUE CODER,HDPE; 11MM, EBEAM";16.354,80;EUR;13.04.2022;2022-06-15;;42;FCA;
29272351;10;PO-21-16979;17.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;SP-1100/150;;96 Well Raised SemiSkirt Plate (150);152,93;EUR;06.07.2022;2022-06-15;;15-;FCA;
29274235;80;PO-22-00005;03.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;133;114;312018-0250;;BOTTLE SQUARE EU;36.388,80;EUR;12.01.2022;2022-06-15;;107;FCA;C
29274271;40;PO-22-00008;03.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;4301-1000;;"'""FUNNEL SEPARATORY FEP;1000ML EU""";438,00;EUR;04.05.2022;2022-08-10;;67;FCA;
29274271;50;PO-22-00008;03.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;4301-2000;;"'""FUNNEL SEPARATRY FEP;2000 ML EU""";683,00;EUR;23.03.2022;2022-08-10;;96;FCA;
29274465;10;80833545−O1−00548;04.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;342035-0010;;PETG BTL W/LINED CLSR,10ML,ST EU;433,80;EUR;06.04.2022;2023-02-15;;218;FCA;
29274465;20;80833545−O1−00548;04.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;342035-0005;;PETG BTL W/LINED CLSR, 5ML,ST EM;424,20;EUR;14.06.2023;2023-08-09;;39;FCA;
29274644;40;PO-22-00155;05.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;40;8;642002-1852;;60 ml HDPE NM BOTTLE - STERILE;2.062,48;EUR;12.01.2022;2022-10-12;;190;FCA;C
29274659;20;80835608−O1−00548;05.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;12;12;342035-0010;;PETG BTL W/LINED CLSR,10ML,ST EU;5.623,20;EUR;06.04.2022;2023-02-15;;218;FCA;
29274662;10;45072−OS−00548;05.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;12;12;342020-0030;;PETG MEDIA BOTTLE STR 30ML== EM;3.288,00;EUR;14.06.2023;2023-06-21;;5;FCA;
